PID	schoolyear	age	text_learner_ageProduction	gender	learner_gender	l1a	l1b	l1c	subcorpus	learner_school_language	yearcollected	canton	class	learner_durationOfInstruction	learner_ageofOnset	learner_target_language_durationOfInstruction	learner_target_language_input	learner_target_language_institution
Th104	9	14.9260274	15	m	male	eng	sna	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Th105	9	15.27123288	15	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th106	9	15.26027397	15	f	female	aln	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Th108	9	14.7260274	15	m	male	fra	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Th109	9	15.42739726	15	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th110	9	14.54246575	15	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th113	9	14.88767123	15	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th114	9	14.87671233	15	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th115	9	NA	notAvailable	m	male	NA	NA	NA	d	deu	2018		Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Th116	9	15.61917808	16	m	male	deu	eng	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th117	9	14.83013699	15	f	female	deu	ita	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th121	9	15.54246575	16	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th122	9	15.83835616	16	m	male	deu	NA	NA	d	deu	2018	BE	Th1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th127	9	15.25753425	15	f	female	deu	srp	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th128	9	15.2109589	15	f	female	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th129	9	15.2109589	15	m	male	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th133	9	15.04109589	15	m	male	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th134	9	14.72876712	15	m	male	deu	fra	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th137	9	15.24383562	15	m	male	tha	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Th138	9	14.96164384	15	f	female	deu	spa	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th139	9	NA	notAvailable	f	female	NA	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Th140	9	15.43835616	15	m	male	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th141	9	14.85479452	15	f	female	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th142	9	15.03561644	15	m	male	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th149	9	14.99726027	15	m	male	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th150	9	14.52876712	15	f	female	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th151	9	14.98356164	15	f	female	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Th153	9	14.49315068	14	f	female	deu	NA	NA	d	deu	2018	BE	Th2	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
